__time,/odrive_axis5/controller_status/active_errors,/odrive_axis5/controller_status/axis_state,/odrive_axis5/controller_status/iq_measured,/odrive_axis5/controller_status/iq_setpoint,/odrive_axis5/controller_status/pos_estimate,/odrive_axis5/controller_status/procedure_result,/odrive_axis5/controller_status/torque_estimate,/odrive_axis5/controller_status/torque_target,/odrive_axis5/controller_status/trajectory_done_flag,/odrive_axis5/controller_status/vel_estimate,/odrive_axis5/odrive_status/active_errors,/odrive_axis5/odrive_status/bus_current,/odrive_axis5/odrive_status/bus_voltage,/odrive_axis5/odrive_status/disarm_reason,/odrive_axis5/odrive_status/fet_temperature,/odrive_axis5/odrive_status/motor_temperature
1766086696.714522,,,,,,,,,,,0.000000000,0.000000000,25.927682877,0.000000000,25.137176514,22.504608154
1766086696.814642,,,,,,,,,,,0.000000000,0.000000000,25.925397873,0.000000000,25.137786865,22.504608154
1766086696.914583,,,,,,,,,,,0.000000000,-0.000000000,25.932250977,0.000000000,25.141448975,22.504608154
1766086696.955086,0.000000000,8.000000000,0.175316110,0.000000000,-25.364210129,1.000000000,0.166651070,0.000000000,1.000000000,0.000000000,,,,,,
1766086697.014703,,,,,,,,,,,0.000000000,0.000000000,25.925397873,0.000000000,25.142364502,22.504608154
1766086697.114739,,,,,,,,,,,0.000000000,0.000000000,25.920829773,0.000000000,25.143798828,22.504608154
1766086697.204893,0.000000000,8.000000000,-0.119609386,0.000000000,-25.364210129,1.000000000,-0.113697655,0.000000000,1.000000000,0.000000000,,,,,,
1766086697.214705,,,,,,,,,,,0.000000000,0.000000000,25.948242188,0.000000000,25.143463135,22.504608154
1766086697.317975,,,,,,,,,,,0.000000000,0.000066065,25.929967880,0.000000000,25.146820068,22.504608154
1766086697.419426,,,,,,,,,,,0.000000000,0.000006334,25.934535980,0.000000000,25.146179199,22.504608154
1766086697.454723,0.000000000,8.000000000,0.044135854,0.000000000,-25.364210129,1.000000000,0.041954428,0.000000000,1.000000000,0.000000000,,,,,,
1766086697.514765,,,,,,,,,,,0.000000000,0.000000000,26.558170319,0.000000000,25.148498535,22.504608154
1766086697.614783,,,,,,,,,,,0.000000000,0.000000000,25.955095291,0.000000000,25.151794434,22.504608154
1766086697.703856,0.000000000,8.000000000,0.053617463,0.000000000,-25.364210129,1.000000000,0.050967403,0.000000000,1.000000000,0.000000000,,,,,,
1766086697.713694,,,,,,,,,,,0.000000000,0.000000000,25.927682877,0.000000000,25.150482178,22.504608154
1766086697.813970,,,,,,,,,,,0.000000000,0.000000000,25.929967880,0.000000000,25.152740479,22.504608154
1766086697.915740,,,,,,,,,,,0.000000000,0.000000000,25.904838562,0.000000000,25.155181885,22.504608154
1766086697.956536,0.000000000,8.000000000,-0.017310420,0.000000000,-25.364210129,1.000000000,-0.016454848,0.000000000,1.000000000,0.000000000,,,,,,
1766086698.018053,,,,,,,,,,,0.000000000,0.000000000,25.929967880,0.000000000,25.154113770,22.504608154
1766086698.118378,,,,,,,,,,,0.000000000,-0.000000000,25.936820984,0.000000000,25.158813477,22.504608154
1766086698.203741,0.000000000,8.000000000,0.034413744,0.000000000,-25.364210129,1.000000000,0.032712836,0.000000000,1.000000000,0.000000000,,,,,,
1766086698.219519,,,,,,,,,,,0.000000000,0.000000000,25.923114777,0.000000000,25.158874512,22.504608154
1766086698.313868,,,,,,,,,,,0.000000000,0.000000000,25.939104080,0.000000000,25.157257080,22.504608154
1766086698.413807,,,,,,,,,,,0.000000000,0.000000000,25.916261673,0.000000000,25.160552979,22.504608154
1766086698.453781,0.000000000,8.000000000,-0.203923464,0.000000000,-25.364210129,1.000000000,-0.193844482,0.000000000,1.000000000,0.000000000,,,,,,
1766086698.513955,,,,,,,,,,,0.000000000,0.000000000,25.913976669,0.000000000,25.162231445,22.504608154
1766086698.616807,,,,,,,,,,,0.000000000,0.000000000,25.929967880,0.000000000,25.162963867,22.504608154
1766086698.703909,0.000000000,8.000000000,-0.094677247,0.000000000,-25.364210129,1.000000000,-0.089997798,0.000000000,1.000000000,0.000000000,,,,,,
1766086698.713846,,,,,,,,,,,0.000000000,0.000000000,25.913976669,0.000000000,25.164916992,22.504608154
